id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
38,Belgian Trappist,Unleash the Yeast Series.,09/2013,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Abbey style yeasts add distinctive spicy and fruity notes, and dry out the finished beer.",https://images.punkapi.com/v2/38.png,6.3,55.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo WLP500 - Monastery Ale","Roast beef with spicy jus, Ginger bread cookies, Orange tart",Ali Skinner,"Extra Pale, Caramalt, Dark Crystal, Munich","Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo",WLP500 - Monastery Ale
39,Kohatu - IPA Is Dead,Single Hop India Pale Ale.,02/2014,"As you’d expect from a New Zealand hop variety, Kohatu contributes bags of tropical fruit, but with loads of lime notes, & pineapple hits. Seriously fruity, with sweet, juicy melon and stonefruit notes.",https://images.punkapi.com/v2/39.png,7.2,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal Kohatu, Kohatu, Kohatu, Kohatu Wyeast 1056 - American Ale™","Tuna sushi roll with spicy mayonnaise sauce, Thai green curry, Pineapple upside down cake",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Kohatu, Kohatu, Kohatu, Kohatu",Wyeast 1056 - American Ale™
40,Hello My Name is Vladimir,Limonnik Infused Imperial IPA (Not for Gays).,01/2014,"A Limonnik-infused, triple dry- hopped double IPA. Dry berry tartness and intense citrus hop character meld with a dry bready malt base, boosted by a hint of alcohol warmth. This beer was brewed as a protest against the anti-LGBT legislation in Russia surrounding the Sochi Olympics.",https://images.punkapi.com/v2/40.png,8.2,70.0,16.0,8.0,4.4,"Extra Pale, Caramalt, Wheat Citra, Citra, Citra, Blackberry Concentrate, Sour Cherry Puree, Citra, Mosaic, Centennial Wyeast 1056 - American Ale™","Russian mini pork pies, Beef Stroganoff, Chocolate and fruit cake",Ali Skinner,"Extra Pale, Caramalt, Wheat","Citra, Citra, Citra, Blackberry Concentrate, Sour Cherry Puree, Citra, Mosaic, Centennial",Wyeast 1056 - American Ale™
41,AB:17,Three Coffee Rye Imperial Porter.,10/2014,"A triple whammy of coffee from HasBean gives our 17th Abstrakt concept beer an intense and roasty, dark mocha character. We brewed with espresso in the mash, cafetiere in the boil, and whole roast beans in the whirlpool and the fermenter.",https://images.punkapi.com/v2/41.png,10.7,100.0,300.0,150.0,4.3,"Pale Ale, Rye, Amber, Dark Crystal, Roasted Barley, Chocolate, Carafa Special Malt Type 1 CO2 Extract, Willamette Wyeast 1272 - American Ale II™","12hr smoked brisket, Chocolate pistachio cakes, Dulche de leche",Sam Mason,"Pale Ale, Rye, Amber, Dark Crystal, Roasted Barley, Chocolate, Carafa Special Malt Type 1","CO2 Extract, Willamette",Wyeast 1272 - American Ale II™
42,Hardcore IPA,Explicit Imperial Ale. Citrusy. Resinous. Intense.,12/2009,"Pounding a triple payload of the biggest North American hops humanity has devised, braced by a backbone of caramel malt, this beer is deep, astringent and resinous, pushing to the extremes of lupulin thresholds. There’s nothing inscrutable going on; no mystery in the backstory. It doesn’t seek to be understood. A beer incapable of empathy; only hop overload.",https://images.punkapi.com/v2/42.png,9.2,125.0,40.0,20.0,4.4,"Extra Pale, Caramalt, Crystal 150 Columbus Extract, Columbus, Columbus, Centennial, Simcoe, Columbus, Centennial, Simcoe, Centennial, Columbus, Simcoe, Amarillo Wyeast 1272 - American Ale II™","Spicy wings with blue cheese dip, Pan seared scallops with a chilli sauce, Creamy chocolate and caramel cheesecake",Sam Mason,"Extra Pale, Caramalt, Crystal 150","Columbus Extract, Columbus, Columbus, Centennial, Simcoe, Columbus, Centennial, Simcoe, Centennial, Columbus, Simcoe, Amarillo",Wyeast 1272 - American Ale II™
43,American Wheat,Hoppy American Wheat.,07/2014,"A luscious blend of peach, blood orange and banana to make a suitably refreshing beverage that happily straddles the Atlantic.",https://images.punkapi.com/v2/keg.png,4.5,17.0,10.0,5.0,5.3,"Extra Pale, Wheat, Pale Crystal Ahtanum, Ahtanum Wyeast 1010 - American Wheat™","Strawberry and citrus salad, Fish corn tacos with pomegranate salsa, Summer berry fruit parfait",Sam Mason,"Extra Pale, Wheat, Pale Crystal","Ahtanum, Ahtanum",Wyeast 1010 - American Wheat™
44,Dog Wired (w/8 Wired),New Zealand Imperial Pilsner.,06/2013,"Brewed in collaboration with Soren from New Zealand’s stellar 8-Wired brewery, this is an Imperial Pilsner featuring two of our favourite New Zealand hops: Nelson Sauvin and Motueka. Sitting at a dangerously drinkable 7.1% ABV there’s a touch of Munich malt which gives this beer that little extra caramel biscuit bite to compliment the lip smackingly tropical hops. Expect an all out NZ hoppy riot.",https://images.punkapi.com/v2/44.png,7.1,65.0,13.0,6.5,4.4,"Extra Pale, Munich, Acidulated Malt Nelson Sauvin, Motueka, Nelson Sauvin, Motueka, Nelson Sauvin, Motueka, Motueka, Nelson Sauvin Wyeast 2007 - Pilsen Lager™","Spiced and blackened cajun chicken, Pork belly vindaloo, Rhubarb pie",Sam Mason,"Extra Pale, Munich, Acidulated Malt","Nelson Sauvin, Motueka, Nelson Sauvin, Motueka, Nelson Sauvin, Motueka, Motueka, Nelson Sauvin",Wyeast 2007 - Pilsen Lager™
45,The Physics,Laid Back Amber Beer.,04/2007,"A hoppy Amber Ale that won World's Best Amber Beer in the World Beer Awards 2007. Malt and hops are in perfect harmony in this incredibly balanced beer. Biscuity, bitter and packing a surprisingly hoppy punch, this beer ultimately morphed into 5AM Saint.",https://images.punkapi.com/v2/45.png,5.0,47.0,65.0,32.5,4.4,"Extra Pale, Caramalt, Crystal 120, Dark Crystal Amarillo, Amarillo, Bramling Cross, Amarillo Wyeast 1056 - American Ale™","Barbecue pulled pork on sourdough bread, Roast turkey with a honey and herb marinade and roasted vegetables, Banana walnut loaf with chocolate chips",Sam Mason,"Extra Pale, Caramalt, Crystal 120, Dark Crystal","Amarillo, Amarillo, Bramling Cross, Amarillo",Wyeast 1056 - American Ale™
46,Anarchist Alchemist,Triple Hopped Triple Ipa.,03/2012,"About as far as you can push an IPA; Anarchist Alchemist packs in three times the malt and three of our favourite hops. Nelson Sauvin, Amarillo and Centennial bring a range of flavours, touching on tropical fruit, white grape, tangerine, grapefruit, pine, spiced orange... the list goes on!",https://images.punkapi.com/v2/46.png,16.5,20.5,20.0,10.0,4.4,"Extra Pale Nelson Sauvin, Centennial, Nelson Sauvin, Amarillo, Centennial, Nelson Sauvin, Amarillo, Centennial Wyeast 1272 - American Ale II™","Blue cheese & onion tart, Goan goat curry, Sugar-poached kumquat rice pudding",Sam Mason,Extra Pale,"Nelson Sauvin, Centennial, Nelson Sauvin, Amarillo, Centennial, Nelson Sauvin, Amarillo, Centennial",Wyeast 1272 - American Ale II™
47,AB:15,Salted Caramel Popcorn Strong Ale.,03/2013,"A salted caramel popcorn Imperial Ale. Bourbon and Rum barrel aged, this 12.8% ale has complex and twisting flavours. Bitter caramel, wood, smoke, spice, treacle and vanilla are all present and intertwine against a smooth and lightly chewy mouthfeel. The salted caramel popcorn lends subtle hints of a smoky brininess.",https://images.punkapi.com/v2/47.png,12.8,50.0,111.0,55.5,4.4,"Maris Otter Extra Pale, Caramalt, Munich, Crystal 150, Popcorn Sorachi Ace, Willamette Wyeast 1272 - American Ale II™","Crispy bacon on flat bread, Glazed ham with crackling coating, Popcorn caramel and chocolate cake",Sam Mason,"Maris Otter Extra Pale, Caramalt, Munich, Crystal 150, Popcorn","Sorachi Ace, Willamette",Wyeast 1272 - American Ale II™
48,Goldings - IPA Is Dead,Single Hop India Pale Ale.,02/2013,"This is East Kent Goldings re- invented and re-imagined and shows just what can be done with English hops if you use enough of them. In this amped up Goldings reincarnation expect to be slammed with floral lavender, a fruity riot of blackberries and spiced pears, bubblegum, plums and the illusion of thyme.",https://images.punkapi.com/v2/48.png,6.7,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Goldings, Goldings, Goldings, Goldings Wyeast 1056 - American Ale™","Rosemary and thyme marinated venison, Fish and chips, Lavender chocolate chip cookies",Matt Ball,"Extra Pale, Caramalt, Dark Crystal, Munich","Goldings, Goldings, Goldings, Goldings",Wyeast 1056 - American Ale™
49,AB:14,Oak-Aged Imperial Weizenbock.,02/2013,"Think banoffee pie; loads of creamy sweet banana, and sticky warm toffee. This beer is super complex, and one for the sweet-toothed!",https://images.punkapi.com/v2/49.png,10.0,30.0,20.0,10.0,4.4,"Wheat, Extra Pale, Munich, Caramalt Bramling Cross, Simcoe, Saaz, Simcoe, Saaz Wyeast 3638 - Bavarian Wheat™","Sweet pork Chinese dumplings, Caramelised onion venison burger, Banoffee pie",Sam Mason,"Wheat, Extra Pale, Munich, Caramalt","Bramling Cross, Simcoe, Saaz, Simcoe, Saaz",Wyeast 3638 - Bavarian Wheat™
50,Lost Dog (w/Lost Abbey),Rum-Aged Imperial Porter - Lost Abbey Collab.,11/2011,"Our first beer aged in rum casks, Lost Dog saw us brew a collaboration imperial porter with our friends at Lost Abbey. The base beer was packed with toffee, chocolate and roasty notes, balanced with a subtle spicy hop character. The rum casks add a warming, spiced vanilla edge.",https://images.punkapi.com/v2/50.png,10.0,35.0,80.0,40.0,4.4,"Extra Pale, Pale Chocolate, Chocolate, Dark Crystal, Flaked Oats, Caramalt First Gold Wyeast 1272 - American Ale II™","Beef satay skewers, Venison & cranberry pie, Blackberry mocha gateaux",Sam Mason,"Extra Pale, Pale Chocolate, Chocolate, Dark Crystal, Flaked Oats, Caramalt",First Gold,Wyeast 1272 - American Ale II™
51,TM10,Liquid Art.,04/2010,Brewed for the Tate Modern’s 10th Anniversary. A saison style beer brewed with ginger and orange peel. Very limited batch of 4000 cork and caged bottles with a silk screened label designed by Johanna Basford. Only available at the Tate Modern.,https://images.punkapi.com/v2/51.png,5.5,20.0,14.0,7.0,4.2,"Pale Ale Bobek, Bobek, Bobek, Ginger, Orange Peel Wyeast 3711 - French Saison™","Tom yum soup, Andhra chicken pickle curry, Butterscotch tart",Sam Mason,Pale Ale,"Bobek, Bobek, Bobek, Ginger, Orange Peel",Wyeast 3711 - French Saison™
52,Paradox Islay,Ubiquitous Imperial Stout.,04/2007,"In 2006 James and Martin hijacked a beer dinner run by Michael Jackson, the acclaimed beer and whisky writer, and convinced him to taste one of their home brews. This was a defining moment in BrewDog prehistory, and that beer was the first incarnation of the ubiquitous Paradox. Aged in a variety of casks over the years, Paradox is dark, decadent and encapsulating. Can be enjoyed fresh; phenomenal when aged.",https://images.punkapi.com/v2/52.png,10.0,55.0,300.0,152.0,4.4,"Extra Pale, Caramalt, Munich, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Columbus, Columbus, Saaz, First Gold Wyeast 1272 - American Ale II™","Ancho chilli beef taco, Chocolate gateaux, Rum poached pears with dark chocolate sauce",Sam Mason,"Extra Pale, Caramalt, Munich, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Columbus, Columbus, Saaz, First Gold",Wyeast 1272 - American Ale II™
53,Baby Dogma,Session Scotch Ale.,09/2013,"A baby Scotch ale with dry and toasty malt flavours and hints of smoke. Toffee, biscuit and fudge abound with a spicy bitterness from the pan-global hops.",https://images.punkapi.com/v2/keg.png,4.5,35.0,40.0,20.0,4.4,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked First Gold, Willamette, Hallertauer Mittelfrüh Wyeast 1056 - American Ale™","French onion soup, Braised pheasant, Caramel sauce and hot fudge",Ali Skinner,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked","First Gold, Willamette, Hallertauer Mittelfrüh",Wyeast 1056 - American Ale™
54,Albino Squid Assasin,Red Rye IPA,11/2015,"This tentacled terminator packs a punch - ten punches to be precise. Each hop addition adds to the intense layers of depth in this red rye IPA. Toasty caramel & cinder toffee from crystal malts, cacao richness from intensely roasted malt and the spiciness of rye. Zesty pithiness from Citra and the robust resin of Chinook. This small batch exclusive brew is up-front intensity matched with twisted complexity. The can features awesome custom art from Joe Wilson.",https://images.punkapi.com/v2/54.png,7.4,65.0,60.0,30.0,4.2,"Pale Ale, Crystal 150, Dark Crystal, Carafa Special Malt Type 1, Rye Magnum, Chinook, Citra, Chinook, Citra, Chinook, Citra Wyeast 1056 - American Ale™","Rocket and mozzarella salad with a cracked pepper dressing, Fried halibut with sweet potato fritters, Grapefruit and blood orange tart",Matt Ball,"Pale Ale, Crystal 150, Dark Crystal, Carafa Special Malt Type 1, Rye","Magnum, Chinook, Citra, Chinook, Citra, Chinook, Citra",Wyeast 1056 - American Ale™
55,Amarillo - IPA Is Dead,Single Hop India Pale Ale.,01/2013,"Citrus fruit. Lots of citrus fruit. Think blood orange, orange zest and grapefruit, tangerine and lemon; the fruit is balanced by floral notes in the most classic of new wave IPA hops. Amarillo adds a zesty, pithy character that sits beautifully alongside hints of toffee and honeycomb.",https://images.punkapi.com/v2/55.png,7.2,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal Amarillo, Amarillo, Amarillo, Amarillo Wyeast 1056 - American Ale™","Bratwurst sausage with spicy mustard, Fried American bacon with chilli flakes added to the top, Dark chocolate chip cookies",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Amarillo, Amarillo, Amarillo, Amarillo",Wyeast 1056 - American Ale™
56,Black Eyed King Imp,Barrel-Aged Prototype Cocoa Psycho.,11/2012,"An early Cocoa Psycho recipe that we loved, but didn't fit what we were looking for. We locked this chocolate coffee stout away in barrels for two years, imparting toasted marshmallow, spicy vanilla, molasses and boozy warmth.",https://images.punkapi.com/v2/56.png,9.5,85.0,250.0,125.0,4.4,"Extra Pale - Spring Blend, Wheat, Caramalt, Crystal, Dark Crystal, Amber, Brown, Chocolate, Roasted Barley Magnum, Willamette, First Gold Wyeast 1272 - American Ale II™","Beef chilli made with cocoa powder, Dark chocolate covered bacon, Rich espresso tiramisu",Sam Mason,"Extra Pale - Spring Blend, Wheat, Caramalt, Crystal, Dark Crystal, Amber, Brown, Chocolate, Roasted Barley","Magnum, Willamette, First Gold",Wyeast 1272 - American Ale II™
57,Prototype 27,Vibrant Smoky Pink IPA.,04/2010,"Hardcore IPA with raspberries aged in Caol Ila casks. Full-bodied and compelling, the robust malt base provides an initial layer of honey, cinnamon and biscuity malt sweetness. Soon the Scottish berries are in on the act, a dominating tug of war between sweet and tart with an overbearing zest. As the beer slips back across your tongue the hops demand and definitely get your attention. At 100 IBUs the bitterness smashes into the back of your throat as the resinous, spiced orange peel flavours add depth to the berry fruitiness.",https://images.punkapi.com/v2/57.png,9.2,149.0,19.5,9.8,4.4,"Pale Ale, Crystal 150, Caramalt Columbus, Centennial, Columbus, Centennial, Columbus, Centennial, Simcoe Wyeast 1272 - American Ale II™","Strong blue cheese, Cranachan, Chicago style hot links",Sam Mason,"Pale Ale, Crystal 150, Caramalt","Columbus, Centennial, Columbus, Centennial, Columbus, Centennial, Simcoe",Wyeast 1272 - American Ale II™
58,Coffee Imperial Stout,Beats a Cup of Joe.,11/2008,"This beer was released as both as ""Danish Beerhouse Coffee Imperial Stout"" and ""BrewDog Coffee Imperial Stout"". Deep, dark, roasted flavours make this a perfect Sunday brunch beer.",https://images.punkapi.com/v2/58.png,9.0,65.0,97.0,49.0,4.4,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley Chinook, Galena, Galena, First Gold, Coffee, Coffee Wyeast 1056 - American Ale™","Gooey chocolate brownies, Chicken fried steak with cheesy mash, Spicy chicken empanadas",Sam Mason,"Extra Pale, Dark Crystal, Chocolate, Roasted Barley","Chinook, Galena, Galena, First Gold, Coffee, Coffee",Wyeast 1056 - American Ale™
59,Mandarina Bavaria - IPA Is Dead,Single Hop India Pale Ale.,03/2015,"From the central European plains of Germany, comes something very different. A blast of tangerine and orange, Mandarina Bavaria brings a highly distinctive backbone of flavour. This is down to its parent – Cascade – and a frankly enormous 70% myrcene oil content. If equate Germany solely with earthy, spicy Noble hops, Mandarina Bavaria will make you think again.",https://images.punkapi.com/v2/59.png,7.2,100.0,12.0,6.0,4.4,"Extra Pale Mandarina Bavaria, Mandarina Bavaria, Mandarina Bavaria Wyeast 1056 - American Ale™","Lavender and thyme roast beef, Spicy kung po chicken, Caramel and rose essence cheesecake",Sam Mason,Extra Pale,"Mandarina Bavaria, Mandarina Bavaria, Mandarina Bavaria",Wyeast 1056 - American Ale™
